Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,Égoïste Chanel 1990 Eau de Toilette,Chanel,1990,Eau de Toilette,NA,NA,"Spicy, Woody, Oriental, Sweet, Floral","Coriander, Rosewood, Mahogany, Mandarin orange","Cinnamon, Carnation, Rose","Sandalwood, Tobacco, Vanilla, Amber, Leather","Jacques Polge, François Demachy",https://www.parfumo.com/Perfumes/Chanel/Egoiste_Eau_de_Toilette
NA,Égoïste Chanel 1990 Lotion Après Rasage,Chanel,1990,Lotion Après Rasage,8.5,13,"Woody, Spicy, Fresh, Sweet, Floral","Coriander, Rosewood, Mahogany, Mandarin orange","Cinnamon, Carnation, Rose","Sandalwood, Tobacco, Vanilla, Amber, Leather","Jacques Polge, François Demachy",https://www.parfumo.com/Perfumes/Chanel/Egoiste_Lotion_Apres_Rasage
NA,Égoïste Chanel 1992 Cologne Concentrée,Chanel,1992,Cologne Concentrée,9,37,"Spicy, Woody, Sweet, Citrus, Oriental","Coriander, Rosewood, Mahogany, Mandarin orange","Cinnamon, Carnation, Rose","Sandalwood, Tobacco, Vanilla, Amber, Leather","Jacques Polge, François Demachy",https://www.parfumo.com/Perfumes/Chanel/Egoiste_Cologne_Concentree
NA,Aaber Sabeel,Nabeel,NA,NA,NA,NA,NA,"Aldehydes, Amber, Coconut, Milk, Saffron, Sandalwood, Spicy notes, Woody notes","Chamomile, Cumin, Floral notes, Geranium, Green notes, Herbaceous notes, Honey, Mossy notes, Rose, Rosewood","Cedarwood, Cinnamon, Earthy notes, Earthy notes, Musk, Sandalwood, Vetiver, Woods","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Aaber_Sabeel
NA,Aaz Al Nas,Nabeel,NA,NA,NA,NA,NA,"Bergamot, Ginger","Damask rose, Geranium, Violet","Musk, Patchouli, Saffron, Sandalwood, Vanilla","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Aaz_Al_Nas
NA,Abu Madyan,Ensar Oud / Oriscent,NA,NA,7.3,21,"Spicy, Oriental, Animal, Green, Leathery","Thyme, Sichuan pepper, Pineappleweed, Coriander, Mountain pepper","Cinnamon, Clove, Saffron","Indian sandalwood, Indian oud, Liatris spicata, Styrax, Vetiver",NA,https://www.parfumo.com/Perfumes/ensar-oud/abu-madyan
NA,Abu Yog,Ensar Oud / Oriscent,2023,NA,8.4,5,"Earthy, Woody, Sweet, Smoky, Resinous",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/abu-yog
NA,Addicted,Aaron Terence Hughes,2023,NA,9,31,"Sweet, Gourmand, Creamy, Spicy, Fruity",Cognac,"Apple, Cinnamon, Honey","Chocolate, Sandalwood, Tonka bean, Vanilla","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/addicted
NA,AddictiveArts - A Separate Reality Manic,Clive Christian,2018,NA,7.9,9,"Woody, Resinous, Smoky, Spicy, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__A_Separate_Reality_Manic
NA,AddictiveArts - A Separate Reality Soporific,Clive Christian,2018,NA,8.6,4,NA,"Pink pepper, Roman chamomile, Saffron","Absinthe wormwood, Cocoa leaf, Egyptian jasmine, Hedione, Mastic, May rose, Opium","Benzoin, Fir balsam, Musk, Myrrh",NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__A_Separate_Reality_Soporific
NA,AddictiveArts - Chasing the Dragon Euphoric,Clive Christian,2017,NA,8.9,50,"Floral, Fruity, Creamy, Woody, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__Chasing_the_Dragon_Euphoric
NA,AddictiveArts - Chasing the Dragon Hypnotic,Clive Christian,2017,NA,7.8,48,"Resinous, Spicy, Sweet, Woody, Fruity","Elemi resin, Ginger, Pink pepper, Frankincense, Bergamot","Labdanum, Cinnamon, Absinthe wormwood, Basil, Black cherry, Clove, Cocoa leaf, Fir balsam, Opium","Amber, Patchouli, Myrrh, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__Chasing_the_Dragon_Hypnotic
NA,AddictiveArts - Vision in a Dream Mesmeric,Clive Christian,2017,NA,8.4,19,"Green, Spicy, Woody, Smoky, Earthy","Mugwort, Apple skin, Bitter almond, Galbanum, Kaffir lime, Violet leaf","Absinthe wormwood, Cocoa leaf, Heliotrope, Iris, Jasmine, Narcissus, Neroli, Opium","Amber, Cedarwood, Cinnamon, Clove, Patchouli, Pink pepper, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__Vision_in_a_Dream_Mesmeric
NA,AddictiveArts - Vision in a Dream Psychedelic,Clive Christian,2017,NA,8.5,90,"Spicy, Green, Woody, Oriental, Smoky","Apple skin, Almond, Mugwort, Kaffir lime leaf, Violet leaf, Galbanum","Cinnamon, Opium, Absinthe wormwood, Clove, Frankincense, Papyrus, Pepper, Cocoa leaf, Labdanum, Suede","Patchouli, Cedar, Sandalwood, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/AddictiveArts__Vision_in_a_Dream_Psychedelic
NA,Adonis,Aaron Terence Hughes,2021,NA,8.2,43,"Sweet, Fresh, Creamy, Resinous, Green","Peppermint, Bergamot","Tonka bean, Vanilla, Ambroxan","Cedarwood, White musk, Patchouli, Sandalwood",NA,https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/adonis
NA,Afrah,Amouage,NA,NA,8.6,16,"Floral, Oriental, Woody, Sweet, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Afrah
NA,Agar de Noir,Areej Le Doré,2020,NA,8.3,95,"Spicy, Woody, Oriental, Resinous, Floral","Arnica, Calamus, Cardamom, Gaiac wood, Hawthorn","Laotian oud, Violet, Indian oud, Coffee, Ambergris, Saffron","Benzoin, Tonka bean, Labdanum, Peru balsam",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/agar-de-noir
NA,Ahlam,Roja Parfums,2018,NA,8.2,115,"Floral, Oriental, Sweet, Powdery, Woody",Lemon,"May rose, Geranium, Violet, Ylang-ylang, Grasse jasmine","Oud, Almond, Ambergris, Powder, Rhubarb, Saffron, Sandalwood, Vanilla, Iris, Musk, Patchouli",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/Ahlam
NA,Ahlam Wardiyah,Nabeel,NA,NA,NA,NA,NA,"Orange blossom, Rose, Tangerine","Cedar, Frankincense","Amber, Oud, Vanilla","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Ahlam_Wardiyah
NA,Ahubbak Maut,Nabeel,NA,NA,NA,NA,NA,"Aniseed, Clove, Lemon","Cedarwood, Patchouli","Oakmoss, Sandalwood, Vetiver, White musk","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Ahubbak_Maut
NA,Ajwad,Amouage,2012,NA,8.7,6,"Smoky, Resinous, Woody, Oriental, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Ajwad
NA,Ajyal,Nabeel,NA,NA,9.8,2,"Floral, Earthy, Woody, Powdery, Spicy","Beeswax, Cypress, Elemi resin, Jasmine, Mandarin orange, Orange, Saffron, Violet","Cinnamon, Dried fruits, Frankincense, Leather, Oud, Papyrus, Patchouli, Rose, Sandalwood, Tobacco, Vetiver","Amberwood, Benzoin, Cedar, Labdanum, Oud, Tonka bean, Vanilla","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Ajyal
NA,Aku Akira,Ensar Oud / Oriscent,NA,NA,9.6,9,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/Aku_Akira
NA,Al Amakin,Nabeel,NA,NA,NA,NA,NA,Lemon,"Leather, Patchouli, Violet","Caramel, Cedarwood, Musk, Tonka bean","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Amakin
NA,Al Andalus,Amouage,NA,NA,8.2,26,"Oriental, Citrus, Spicy, Fruity, Woody","Orange blossom, Lemon, Rosemary","Geranium, Clary sage, Lily of the valley","Oakmoss, Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Amouage/Al_Andalus
NA,Al Bashiq,Nabeel,NA,NA,8.3,26,"Leathery, Spicy, Woody, Smoky, Oriental","Apple, Artemisia, Bergamot, Bitter almond, Cardamom, Cinnamon, Cypress, Frankincense, Fruity notes, Grapefruit, Lavender, Leather, Nutmeg, Pine, Saffron, Styrax","Balsamic notes, Cashmeran, Cedarwood, Chypre accord, Earthy notes, Frankincense, Gaiac wood, Geranium, Hedione, Jasmine, Labdanum, Lily of the valley, Myrrh, Oud","Amber, Ambergris, Benzoin, Gaiac wood, Musk, Oud, Patchouli, Saffron, Sandalwood, Sweet notes, Tobacco, Tolu balm, Tonka bean, Vanilla, Vetiver",NA,https://www.parfumo.com/Perfumes/Nabeel/al-bashiq
NA,Al Bashiq Sama سما الباشق,Nabeel,2024,NA,7.3,2,"Spicy, Leathery, Oriental, Fruity, Woody","Bergamot, Clove, Pineapple, Saffron, Sichuan pepper","Damask rose, Geranium, Kashmiri musk, Raspberry","Ambergris, Blond woods, Gaiac wood, Musk, Oud, Patchouli, Styrax, Vanilla",NA,https://www.parfumo.com/Perfumes/Nabeel/al-bashiq-sama
NA,Al Ghadeer,Nabeel,NA,NA,9.3,4,"Floral, Sweet, Woody, Oriental, Citrus","Lemon, Jasmine, Orange","Rose, Patchouli, Sandalwood","Musk, Vanilla","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Ghadeer
NA,Al Hajar Al Aswad,Nabeel,NA,NA,NA,NA,NA,"Aldehydes, Animalic notes, Bergamot, Cinnamon, Clove, Eucalyptus, Mint, Orange","Jasmine, Patchouli, Rose, Violet, Ylang-ylang","Cedarwood, Labdanum, Musk, Oakmoss, Powdery notes, Vanilla, Vetiver","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Hajar_Al_Aswad
NA,Al Hajes,Nabeel,NA,NA,9.3,9,"Spicy, Oriental, Resinous, Smoky, Woody","Cedar leaf, Bergamot, Pimento","Frankincense, Labdanum, Amber, Heliotrope","Myrrh, Sandalwood, Oud, Leather, Patchouli","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Hajes
NA,Al Jawhar,Amouage,NA,NA,9.3,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/al-jawhar
NA,Al Majmua,Areej Le Doré,2022,NA,8.3,112,"Chypre, Green, Spicy, Woody, Earthy","Blackcurrant, Bergamot","Pandanus, Patchouli, Vetiver","Iris, Oakmoss, Cedarwood",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/al-majmua
NA,Al Mas,Amouage,2010,NA,8.5,18,"Sweet, Woody, Oriental, Spicy, Gourmand","Rose, Spices","Saffron, Musk, Amber, Vanilla","Cedar, Oud, Sandalwood",NA,https://www.parfumo.com/Perfumes/Amouage/Al_Mas
NA,Al Sharqia,Nabeel,NA,NA,NA,NA,"Fougère, Woody, Oriental, Smoky","Orange, Pine","Aniseed, Orange blossom, Rose, Violet","Cedar, Oud, Sandalwood, Tonka bean, Vanilla","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Sharqia
NA,Al Shomoukh,Amouage,NA,NA,7.4,14,"Woody, Animal, Leathery, Floral, Smoky",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Amouage/Al_Shomukh
NA,Al Wasl,Widian / AJ Arabia,2020,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Widian/al-wasl
NA,Al Watani,Nabeel,NA,NA,9.5,2,NA,"Clove, Honey, Lemon, Vanilla","Balsamic notes, Blossoms, Fruits, Jasmine, Rose, Saffron, Vanilla, Ylang-ylang","Amberwood, Benzoin, Glycyrrhiza glabra, Labdanum, Oud, Patchouli, Sandalwood, Teakwood, Vanilla, Vetiver, White musk","Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/Al_Watani
NA,Aleesa's Garden,Ensar Oud / Oriscent,2023,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/aleesa-s-garden
NA,Allure Chanel 1996 Eau de Toilette,Chanel,1996,Eau de Toilette,7.8,294,"Floral, Powdery, Fresh, Citrus, Sweet",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Eau_de_Toilette
NA,Allure Chanel 1999 Eau de Parfum,Chanel,1999,Eau de Parfum,NA,NA,"Floral, Powdery, Sweet, Oriental, Fruity",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Eau_de_Parfum
NA,Allure Chanel Parfum,Chanel,NA,Parfum,9.1,41,"Floral, Powdery, Creamy, Fruity, Fresh",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Parfum
NA,Allure Chanel Parfum Cheveux,Chanel,NA,Parfum Cheveux,8.1,7,"Powdery, Floral, Fresh, Creamy, Oriental",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Parfum_Cheveux
NA,Allure Eau Fraîchissante pour l'Été,Chanel,2002,NA,7.9,14,"Floral, Sweet, Fruity, Powdery, Creamy","Aldehydes, Bergamot, Blood orange, Grapefruit, Mandarin orange","Honeysuckle, Jasmine, Magnolia, Rose, Water lily","Vanilla, Vetiver",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Eau_Fraichissante_pour_l_Ete
NA,Allure Homme Édition Blanche Chanel 2008 Eau de Toilette Concentrée,Chanel,2008,Eau de Toilette Concentrée,8,715,"Citrus, Fresh, Spicy, Woody, Sweet","Black pepper, Pink pepper","Lemon, Bergamot, New Caledonian sandalwood, Leather","Tonka bean, Amber, Bourbon vanilla, Cedarwood, Ginger, Haitian vetiver, White musk",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Eau_de_Toilette_Concentree
NA,Allure Homme Édition Blanche Chanel 2008 Lotion Après Rasage,Chanel,2008,Lotion Après Rasage,8.9,12,"Citrus, Spicy, Woody, Fruity, Fresh","Black pepper, Pink pepper","Lemon, Bergamot, New Caledonian sandalwood, Leather","Tonka bean, Amber, Bourbon vanilla, Cedarwood, Ginger, Haitian vetiver, White musk",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Lotion_Apres_Rasage
NA,Allure Homme Édition Blanche Chanel 2014 Eau de Parfum,Chanel,2014,Eau de Parfum,NA,NA,"Citrus, Fresh, Creamy, Sweet, Spicy","Black pepper, Pink pepper","Lemon, Bergamot, New Caledonian sandalwood, Leather","Tonka bean, Amber, Bourbon vanilla, Cedarwood, Ginger, Haitian vetiver, White musk",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Eau_de_Parfum
